Reference, Value, Footprint, Datasheet
"U4","STM32F412Cx","taniho:QFN-48-1EP_7x7mm_Pitch0.5mm",""
"J16","CONN_02X03","taniho:SBH51-LPSE-D03",""
"U1","AS5147","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm",""
"U7","DRV8835","taniho:DRV8835",""
"U2","LSM6DS3","taniho:LGA-14L",""
"D1","LED_Small_ALT","taniho:OP224",""
"Q5","PHOTO_TRANSISTER","taniho:OP644SL",""
"Q4","PHOTO_TRANSISTER","taniho:OP644SL",""
"Q3","PHOTO_TRANSISTER","taniho:OP644SL",""
"Q2","PHOTO_TRANSISTER","taniho:OP644SL",""
"Q1","PHOTO_TRANSISTER","taniho:OP644SL",""
"Q6","Q_NMOS_GSD","taniho:VMT3",""
"U9","RIGHT_MOTOR","taniho:Pin_array_1x2_phi0.4",""
"U8","LEFT_MOTOR","taniho:Pin_array_1x2_phi0.4",""
"SW1","SWITCH_INV","Buttons_Switches_SMD:SW_SPDT_PCM12",""
"BT1","Battery_Cell","taniho:B2B-ZR",""
"U5","MB85RS16N","Housings_DFN_QFN:DFN-8-1EP_3x2mm_Pitch0.5mm",""
"LS1","Speaker","taniho:SMT-0440-T-R",""
"Q11","NMSD200B01-7","taniho:NMSD200B01-7",""
"U6","LP5912","Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm",""
"Q7","SIB441EDK","taniho:PowerPAK_SC-75-6L-Single",""
"C13","2.2u","Capacitors_SMD:C_0402",""
"C8","0.1u","Capacitors_SMD:C_0402",""
"C7","1u","Capacitors_SMD:C_0402",""
"C12","0.1u","Capacitors_SMD:C_0402",""
"C4","0.1u","Capacitors_SMD:C_0402",""
"C1","0.1u","Capacitors_SMD:C_0402",""
"R17","100k","taniho:R_0402_metric",""
"D3","LED_Small_ALT","LEDs:LED_0402",""
"R20","1k","taniho:R_0402_metric",""
"R18","10k","taniho:R_0402_metric",""
"R19","10k","taniho:R_0402_metric",""
"C10","10u","Capacitors_SMD:C_0402",""
"C11","1u","Capacitors_SMD:C_0402",""
"R16","10k","taniho:R_0402_metric",""
"R11","10k","taniho:R_0402_metric",""
"R21","10k","taniho:R_0402_metric",""
"R1","1k","taniho:R_0402_metric",""
"R2","1k","taniho:R_0402_metric",""
"R3","1k","taniho:R_0402_metric",""
"R4","1k","taniho:R_0402_metric",""
"R5","1k","taniho:R_0402_metric",""
"R6","10","taniho:R_0402_metric",""
"D2","LED_Small_ALT","taniho:OP224",""
"Q8","Q_NMOS_GSD","taniho:VMT3",""
"R12","10k","taniho:R_0402_metric",""
"R7","10","taniho:R_0402_metric",""
"D4","LED_Small_ALT","taniho:OP224",""
"Q9","Q_NMOS_GSD","taniho:VMT3",""
"R13","10k","taniho:R_0402_metric",""
"R8","10","taniho:R_0402_metric",""
"D5","LED_Small_ALT","taniho:OP224",""
"Q10","Q_NMOS_GSD","taniho:VMT3",""
"R14","10k","taniho:R_0402_metric",""
"R9","10","taniho:R_0402_metric",""
"D8","LED_Small_ALT","taniho:OP224",""
"Q12","Q_NMOS_GSD","taniho:VMT3",""
"R15","10k","taniho:R_0402_metric",""
"R10","10","taniho:R_0402_metric",""
"C14","0.1u","Capacitors_SMD:C_0402",""
"C15","0.1u","Capacitors_SMD:C_0402",""
"C9","0.1u","Capacitors_SMD:C_0402",""
"C5","0.1u","Capacitors_SMD:C_0402",""
"C3","0.1u","Capacitors_SMD:C_0402",""
"C2","0.1u","Capacitors_SMD:C_0402",""
"U3","AS5147","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm",""
"C6","0.1u","Capacitors_SMD:C_0402",""
"D7","LED_Small_ALT","LEDs:LED_0402",""
"R23","1k","taniho:R_0402_metric",""
"J12","CONN_01X01","taniho:Pad_1_0.5",""
"J13","CONN_01X01","taniho:Pad_1_0.5",""
"J14","CONN_01X01","taniho:Pad_1_0.5",""
"J15","CONN_01X01","taniho:Pad_1_0.5",""
"J112","CONN_01X01","taniho:Pad_1_0.5",""
"J113","CONN_01X01","taniho:Pad_1_0.5",""
"J114","CONN_01X01","taniho:Pad_1_0.5",""
"J115","CONN_01X01","taniho:Pad_1_0.5",""
"J109","CONN_01X01","taniho:Pad_1_1.5",""
"J9","CONN_01X01","taniho:Pad_1_1.5",""
"J103","CONN_01X01","taniho:Pad_1_1.5",""
"J104","CONN_01X01","taniho:Pad_1_1.5",""
"J107","CONN_01X01","taniho:Pad_1_0.5",""
"J108","CONN_01X01","taniho:Pad_1_0.5",""
"J101","CONN_01X01","taniho:Pad_1_1.5",""
"J102","CONN_01X01","taniho:Pad_1_1.5",""
"J105","CONN_01X01","taniho:Pad_1_0.5",""
"J106","CONN_01X01","taniho:Pad_1_1.5",""
"J7","CONN_01X01","taniho:Pad_1_0.5",""
"J8","CONN_01X01","taniho:Pad_1_0.5",""
"J3","CONN_01X01","taniho:Pad_1_1.5",""
"J4","CONN_01X01","taniho:Pad_1_1.5",""
"J1","CONN_01X01","taniho:Pad_1_1.5",""
"J2","CONN_01X01","taniho:Pad_1_1.5",""
"J5","CONN_01X01","taniho:Pad_1_0.5",""
"J6","CONN_01X01","taniho:Pad_1_1.5",""
